work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size,job_category,company_location_grp
2023,SE,FT,85847,100,L,Management,ES
2023,MI,CT,30000,100,S,ML/AI Engineer,US
2023,MI,CT,25500,100,S,ML/AI Engineer,US
2023,SE,FT,175000,100,M,Data Scientist,CA
2023,SE,FT,120000,100,M,Data Scientist,CA
2023,SE,FT,222200,0,L,Data Scientist,US
2023,SE,FT,136000,0,L,Data Scientist,US
2023,SE,FT,219000,0,M,Data Scientist,CA
2023,SE,FT,141000,0,M,Data Scientist,CA
2023,SE,FT,147100,0,M,Data Scientist,US
2023,SE,FT,90700,0,M,Data Scientist,US
2023,SE,FT,130000,100,M,Data Analyst,US
2023,SE,FT,100000,100,M,Data Analyst,US
2023,EN,FT,213660,0,L,Data Scientist,US
2023,EN,FT,130760,0,L,Data Scientist,US
2023,SE,FT,147100,0,M,Other,US
2023,SE,FT,90700,0,M,Other,US
2023,SE,FT,170000,0,M,Data Scientist,US
2023,SE,FT,150000,0,M,Data Scientist,US
2023,MI,FT,150000,100,M,Data Analyst,US
2023,MI,FT,110000,100,M,Data Analyst,US
2023,SE,FT,275000,0,M,Data Engineer,DE
2023,SE,FT,174000,0,M,Data Engineer,DE
2023,SE,FT,230000,100,M,Data Engineer,GB
2023,SE,FT,143200,100,M,Data Engineer,GB
2023,SE,FT,225000,0,M,Data Engineer,US
2023,SE,FT,156400,0,M,Data Engineer,US
2023,SE,FT,200000,0,M,ML/AI Engineer,US
2023,SE,FT,130000,0,M,ML/AI Engineer,US
2023,SE,FT,90000,0,M,Other,CA
2023,SE,FT,72000,0,M,Other,CA
2023,SE,FT,253200,0,M,Data Engineer,US
2023,SE,FT,90700,0,M,Data Engineer,US
2023,SE,FT,342810,0,M,ML/AI Engineer,US
2023,SE,FT,184590,0,M,ML/AI Engineer,US
2023,MI,FT,162500,0,M,Data Engineer,US
2023,MI,FT,130000,0,M,Data Engineer,US
2023,MI,FT,105380,0,M,Data Analyst,US
2023,MI,FT,64500,0,M,Data Analyst,US
2023,EN,FT,100000,100,L,Data Analyst,Other
2023,EN,FT,30000,100,L,Data Analyst,Other
2022,MI,FT,20984,50,L,ML/AI Engineer,IN
2023,EN,FT,204620,0,L,Data Scientist,US
2023,EN,FT,110680,0,L,Data Scientist,US
2023,SE,FT,270703,0,M,Data Engineer,US
2023,SE,FT,221484,0,M,Data Engineer,US
2023,SE,FT,212750,100,M,Data Scientist,US
2023,SE,FT,185000,100,M,Data Scientist,US
2023,SE,FT,262000,100,M,Data Scientist,US
2023,SE,FT,245000,100,M,Data Scientist,US
2023,SE,FT,275300,100,M,Data Scientist,US
2023,SE,FT,183500,100,M,Data Scientist,US
2023,SE,FT,218500,100,M,Data Scientist,US
2023,SE,FT,199098,100,M,Data Scientist,US
2023,SE,FT,203300,100,M,Data Engineer,US
2023,SE,FT,123600,100,M,Data Engineer,US
2023,SE,FT,189110,0,M,Data Engineer,US
2023,SE,FT,139000,0,M,Data Engineer,US
2023,EX,FT,258750,0,M,Data Scientist,US
2023,EX,FT,185000,0,M,Data Scientist,US
2023,SE,FT,231500,100,M,Data Engineer,US
2023,SE,FT,166000,100,M,Data Engineer,US
2023,SE,FT,172500,100,M,Data Scientist,US
2023,SE,FT,110500,100,M,Data Scientist,US
2023,SE,FT,238000,0,M,Data Engineer,US
2023,SE,FT,176000,0,M,Data Engineer,US
2023,SE,FT,237000,100,M,Data Engineer,US
2023,SE,FT,201450,100,M,Data Engineer,US
2023,SE,FT,309400,0,L,Data Scientist,US
2023,SE,FT,159100,0,L,Data Scientist,US
2023,SE,FT,115000,0,M,Data Engineer,US
2023,SE,FT,81500,0,M,Data Engineer,US
2023,SE,FT,237000,100,M,Data Scientist,US
2023,SE,FT,201450,100,M,Data Scientist,US
2023,SE,FT,280000,0,M,ML/AI Engineer,US
2023,SE,FT,210000,0,M,ML/AI Engineer,US
2023,SE,FT,280100,100,M,Data Engineer,US
2023,SE,FT,168100,100,M,Data Engineer,US
2023,SE,FT,193500,100,M,Data Engineer,US
2023,SE,FT,139000,100,M,Data Engineer,US
2023,MI,FT,65062,0,L,Data Scientist,Other
2023,SE,FT,150000,100,M,ML/AI Engineer,US
2023,MI,FT,69751,100,S,ML/AI Engineer,DE
2022,EN,FT,300000,50,L,ML/AI Engineer,IN
2023,MI,FT,96578,100,L,ML/AI Engineer,Other
2023,SE,FT,185900,0,M,Data Engineer,US
2023,SE,FT,129300,0,M,Data Engineer,US
2023,SE,FT,225000,100,M,Data Engineer,US
2023,SE,FT,175000,100,M,Data Engineer,US
2023,SE,FT,185000,0,M,Data Engineer,US
2023,SE,FT,140000,0,M,Data Engineer,US
2023,SE,FT,48289,0,M,Data Scientist,ES
2023,SE,FT,38631,0,M,Data Scientist,ES
2023,SE,FT,105000,0,M,Data Scientist,US
2023,SE,FT,70000,0,M,Data Scientist,US
2023,EN,FT,163196,0,M,ML/AI Engineer,US
2023,EN,FT,145885,0,M,ML/AI Engineer,US
2023,SE,FT,217000,100,M,Data Engineer,US
2023,SE,FT,185000,100,M,Data Engineer,US
2023,SE,FT,202800,0,L,Data Analyst,US
2023,SE,FT,104300,0,L,Data Analyst,US
2023,SE,FT,145000,0,M,Data Analyst,US
2023,SE,FT,65000,0,M,Data Analyst,US
2023,SE,FT,165000,0,M,Data Engineer,US
2023,SE,FT,132300,0,M,Data Engineer,US
2023,SE,FT,179170,0,M,Data Engineer,US
2023,SE,FT,94300,0,M,Data Engineer,US
2023,SE,FT,152500,0,M,Data Engineer,US
2023,SE,FT,116450,0,M,Data Engineer,US
2023,SE,FT,247300,0,M,Data Engineer,US
2023,SE,FT,133800,0,M,Data Engineer,US
2023,SE,FT,203000,0,M,Data Engineer,US
2023,SE,FT,133000,0,M,Data Engineer,US
2023,EN,FT,220000,50,L,Data Scientist,US
2022,EN,FT,56536,100,S,ML/AI Engineer,Other
2023,SE,FT,150000,0,M,Data Scientist,US
2023,SE,FT,120000,0,M,Data Scientist,US
2023,SE,FT,289800,0,M,Data Engineer,US
2023,SE,FT,214000,0,M,Data Engineer,US
2023,SE,FT,179820,0,M,Data Engineer,US
2023,SE,FT,143860,0,M,Data Engineer,US
2023,SE,FT,283200,100,M,ML/AI Engineer,US
2023,SE,FT,188800,100,M,ML/AI Engineer,US
2023,SE,FT,289800,0,M,Data Engineer,US
2023,SE,FT,214200,0,M,Data Engineer,US
2023,SE,FT,185900,0,M,Data Engineer,US
2023,SE,FT,129300,0,M,Data Engineer,US
2023,SE,FT,252000,0,M,Data Engineer,US
2023,SE,FT,129000,0,M,Data Engineer,US
2023,MI,FT,155000,0,M,Management,US
2023,MI,FT,140000,0,M,Management,US
2023,SE,FT,161800,100,M,Data Engineer,US
2023,SE,FT,141600,100,M,Data Engineer,US
2023,SE,FT,342300,0,L,ML/AI Engineer,US
2023,SE,FT,176100,0,L,ML/AI Engineer,US
2023,MI,FT,100000,100,M,Data Engineer,US
2023,MI,FT,70000,100,M,Data Engineer,US
2023,EN,FT,85000,0,M,Data Engineer,US
2023,EN,FT,65000,0,M,Data Engineer,US
2023,SE,FT,138784,100,M,Data Scientist,US
2023,SE,FT,83270,100,M,Data Scientist,US
2023,EN,FT,75000,0,M,Data Analyst,US
2023,EN,FT,70000,0,M,Data Analyst,US
2023,SE,FT,204500,0,M,Data Analyst,US
2023,SE,FT,138900,0,M,Data Analyst,US
2023,SE,FT,318300,100,M,ML/AI Engineer,US
2023,SE,FT,212200,100,M,ML/AI Engineer,US
2023,SE,FT,95000,100,M,Data Engineer,US
2023,SE,FT,75000,100,M,Data Engineer,US
2023,SE,FT,195000,0,M,Data Scientist,US
2023,SE,FT,160000,0,M,Data Scientist,US
2023,SE,FT,230000,0,M,Data Engineer,US
2023,SE,FT,143200,0,M,Data Engineer,US
2023,MI,FT,100000,100,M,Data Engineer,US
2023,MI,FT,70000,100,M,Data Engineer,US
2023,MI,FT,105000,50,L,Data Analyst,US
2023,MI,FT,20670,100,L,Data Scientist,IN
2023,MI,FT,46178,0,M,Data Analyst,GB
2023,MI,FT,42533,0,M,Data Analyst,GB
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,115000,0,M,Data Engineer,US
2023,SE,FT,168400,0,M,Data Analyst,US
2023,SE,FT,105200,0,M,Data Analyst,US
2023,SE,FT,309400,0,L,Data Scientist,US
2023,SE,FT,159100,0,L,Data Scientist,US
2023,SE,FT,190000,0,M,ML/AI Engineer,US
2023,SE,FT,150000,0,M,ML/AI Engineer,US
2023,MI,FT,162500,0,M,Data Engineer,US
2023,MI,FT,130000,0,M,Data Engineer,US
2023,SE,FT,150000,100,M,Data Engineer,US
2023,SE,FT,120000,100,M,Data Engineer,US
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,120000,0,M,Data Engineer,US
2023,SE,FT,222200,0,L,Data Scientist,US
2023,SE,FT,136000,0,L,Data Scientist,US
2023,SE,FT,54685,100,M,Data Analyst,Other
2023,SE,FT,42533,100,M,Data Analyst,Other
2023,SE,FT,241000,0,M,Data Engineer,US
2023,SE,FT,155000,0,M,Data Engineer,US
2023,SE,FT,220000,100,M,Data Engineer,US
2023,SE,FT,190000,100,M,Data Engineer,US
2023,MI,FT,66837,0,M,Data Scientist,GB
2023,MI,FT,54685,0,M,Data Scientist,GB
2020,EX,FT,15000,0,M,Data Analyst,CA
2023,MI,FT,85066,100,M,Data Engineer,GB
2023,MI,FT,57723,100,M,Data Engineer,GB
2023,EN,FT,85000,100,M,Data Analyst,US
2023,EN,FT,75000,100,M,Data Analyst,US
2023,SE,FT,160000,0,M,Data Engineer,US
2023,SE,FT,140000,0,M,Data Engineer,US
2023,MI,FT,300000,0,M,ML/AI Engineer,US
2023,MI,FT,250000,0,M,ML/AI Engineer,US
2023,SE,FT,228000,0,M,Data Scientist,US
2023,SE,FT,186000,0,M,Data Scientist,US
2023,SE,FT,190000,0,M,Data Scientist,US
2023,SE,FT,170000,0,M,Data Scientist,US
2023,MI,FT,230000,0,M,Data Engineer,US
2023,MI,FT,200000,0,M,Data Engineer,US
2023,SE,FT,180000,100,M,Data Engineer,US
2023,SE,FT,115000,100,M,Data Engineer,US
2023,SE,FT,200000,100,M,Data Engineer,US
2023,SE,FT,115000,100,M,Data Engineer,US
2023,SE,FT,53654,50,S,Data Engineer,Other
2023,EX,FT,220000,0,M,Data Engineer,US
2023,EX,FT,205000,0,M,Data Engineer,US
2023,MI,FT,180000,0,M,Data Engineer,US
2023,MI,FT,130000,0,M,Data Engineer,US
2023,SE,FT,200000,100,M,Data Engineer,US
2023,SE,FT,150000,100,M,Data Engineer,US
2023,SE,FT,215000,0,M,ML/AI Engineer,US
2023,SE,FT,170000,0,M,ML/AI Engineer,US
2023,SE,FT,247500,0,M,ML/AI Engineer,US
2023,SE,FT,172200,0,M,ML/AI Engineer,US
2023,SE,FT,224000,0,M,Data Scientist,CA
2023,SE,FT,176000,0,M,Data Scientist,CA
2023,SE,FT,120000,100,M,Data Analyst,US
2023,SE,FT,75000,100,M,Data Analyst,US
2023,EN,FT,17022,100,L,Data Engineer,IN
2023,SE,FT,68318,100,M,Data Scientist,Other
2023,MI,FT,75020,0,M,ML/AI Engineer,Other
2023,SE,FT,140000,0,M,Data Analyst,US
2023,SE,FT,120000,0,M,Data Analyst,US
2023,SE,FT,128000,0,M,Data Engineer,US
2023,SE,FT,81500,0,M,Data Engineer,US
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,115000,0,M,Data Engineer,US
2023,SE,FT,185000,0,M,Data Engineer,US
2023,SE,FT,140000,0,M,Data Engineer,US
2023,EX,FT,329500,0,M,Management,US
2023,EX,FT,269600,0,M,Management,US
2023,SE,FT,100000,0,M,Data Analyst,US
2023,SE,FT,80000,0,M,Data Analyst,US
2023,SE,FT,250000,0,M,Data Scientist,US
2023,SE,FT,162500,0,M,Data Scientist,US
2023,MI,FT,200000,100,M,ML/AI Engineer,US
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,100000,0,M,Data Engineer,US
2023,EX,FT,145000,0,M,Data Engineer,US
2023,EX,FT,115000,0,M,Data Engineer,US
2023,SE,FT,203500,0,M,Data Scientist,US
2023,SE,FT,152000,0,M,Data Scientist,US
2023,SE,FT,239000,0,L,Data Scientist,US
2023,SE,FT,122900,0,L,Data Scientist,US
2023,SE,FT,237000,0,M,Data Scientist,US
2023,SE,FT,145000,0,M,Data Scientist,US
2023,SE,FT,191765,0,M,Management,US
2023,SE,FT,134236,0,M,Management,US
2023,SE,FT,190000,100,M,Data Engineer,US
2023,SE,FT,112000,100,M,Data Engineer,US
2022,SE,FT,88256,100,L,Data Scientist,GB
2023,EN,FT,85000,0,M,Data Engineer,US
2023,EN,FT,65000,0,M,Data Engineer,US
2023,SE,FT,135000,0,M,Data Analyst,US
2023,SE,FT,105500,0,M,Data Analyst,US
2023,SE,FT,293000,0,M,Data Engineer,US
2023,SE,FT,185000,0,M,Data Engineer,US
2023,SE,FT,80000,0,M,Data Analyst,US
2023,SE,FT,70000,0,M,Data Analyst,US
2023,SE,FT,220000,100,M,Data Engineer,US
2023,SE,FT,160000,100,M,Data Engineer,US
2023,SE,FT,175000,100,M,Data Scientist,US
2023,SE,FT,145000,100,M,Data Scientist,US
2023,SE,FT,200000,0,M,Data Analyst,US
2023,SE,FT,148500,0,M,Data Analyst,US
2023,SE,FT,48289,0,M,Data Scientist,ES
2023,SE,FT,38631,0,M,Data Scientist,ES
2023,SE,FT,240500,0,L,Data Engineer,US
2023,SE,FT,123700,0,L,Data Engineer,US
2023,SE,FT,152900,100,M,Data Engineer,US
2023,SE,FT,117100,100,M,Data Engineer,US
2023,SE,FT,173000,100,M,Data Engineer,US
2023,SE,FT,113000,100,M,Data Engineer,US
2023,SE,FT,260000,0,L,Data Scientist,US
2023,SE,FT,136000,0,L,Data Scientist,US
2023,EX,FT,175000,0,M,Data Engineer,US
2023,EX,FT,110000,0,M,Data Engineer,US
2023,SE,FT,260000,0,L,Data Scientist,US
2023,SE,FT,136000,0,L,Data Scientist,US
2023,SE,FT,130000,100,M,Data Scientist,US
2023,SE,FT,110000,100,M,Data Scientist,US
2023,SE,FT,205000,100,M,Data Scientist,US
2023,SE,FT,184000,100,M,Data Scientist,US
2023,SE,FT,149500,100,M,Data Analyst,US
2023,SE,FT,127075,100,M,Data Analyst,US
2023,SE,FT,195000,0,M,Data Scientist,US
2023,SE,FT,160000,0,M,Data Scientist,US
2023,SE,FT,219535,100,M,Data Engineer,US
2023,SE,FT,146115,100,M,Data Engineer,US
2023,SE,FT,170000,0,M,Data Scientist,US
2023,SE,FT,135000,0,M,Data Scientist,US
2023,SE,FT,175000,100,M,Data Scientist,US
2023,SE,FT,145000,100,M,Data Scientist,US
2023,SE,FT,199000,0,M,Data Scientist,US
2023,SE,FT,162000,0,M,Data Scientist,US
2023,SE,FT,222200,0,L,Data Scientist,US
2023,SE,FT,136000,0,L,Data Scientist,US
2023,EX,FT,221000,100,M,Data Engineer,US
2023,EX,FT,153000,100,M,Data Engineer,US
2023,SE,FT,187000,0,M,Data Analyst,US
2023,SE,FT,128000,0,M,Data Analyst,US
2023,SE,FT,210000,0,M,Data Scientist,US
2023,SE,FT,136000,0,M,Data Scientist,US
2023,SE,FT,175000,100,M,Data Scientist,US
2023,SE,FT,100000,100,M,Data Scientist,US
2023,SE,FT,179000,0,M,Data Engineer,US
2023,SE,FT,109000,0,M,Data Engineer,US
2023,SE,FT,245000,0,M,Data Scientist,US
2023,SE,FT,180000,0,M,Data Scientist,US
2023,SE,FT,142000,100,M,Data Analyst,US
2023,SE,FT,75000,100,M,Data Analyst,US
2023,SE,FT,198800,0,M,Management,US
2023,SE,FT,105200,0,M,Management,US
2023,SE,FT,125000,100,M,Data Analyst,US
2023,SE,FT,112000,100,M,Data Analyst,US
2023,SE,FT,210000,0,M,Data Scientist,US
2023,SE,FT,155000,0,M,Data Scientist,US
2023,SE,FT,115000,100,M,Management,US
2023,SE,FT,86000,100,M,Management,US
2023,SE,FT,165000,0,M,Data Scientist,US
2023,SE,FT,140000,0,M,Data Scientist,US
2023,SE,FT,139000,0,M,Data Analyst,US
2023,SE,FT,106000,0,M,Data Analyst,US
2023,EN,FT,40663,0,L,Data Analyst,CA
2022,SE,FT,275000,0,S,ML/AI Engineer,CA
2023,SE,FL,50000,50,S,ML/AI Engineer,Other
2023,MI,FT,280700,100,M,ML/AI Engineer,US
2023,MI,FT,150450,100,M,ML/AI Engineer,US
2023,EN,FT,51753,100,L,Data Scientist,CA
2023,SE,FT,250500,0,M,Data Engineer,US
2023,SE,FT,159500,0,M,Data Engineer,US
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,115000,0,M,Data Engineer,US
2023,SE,FT,140000,0,M,Data Analyst,US
2023,SE,FT,120000,0,M,Data Analyst,US
2023,EN,FT,130001,100,M,Data Scientist,US
2023,EN,FT,71907,100,M,Data Scientist,US
2023,MI,FT,93918,100,M,Data Scientist,US
2023,MI,FT,51962,100,M,Data Scientist,US
2023,SE,FT,175000,100,M,Data Analyst,CA
2023,SE,FT,135000,100,M,Data Analyst,CA
2023,EN,FT,85000,0,M,Data Engineer,US
2023,EN,FT,65000,0,M,Data Engineer,US
2023,SE,FT,257000,0,M,ML/AI Engineer,US
2023,SE,FT,147000,0,M,ML/AI Engineer,US
2023,SE,FT,222000,100,M,Data Engineer,US
2023,SE,FT,175000,100,M,Data Engineer,US
2023,SE,FT,203000,100,M,Data Scientist,US
2023,SE,FT,133200,100,M,Data Scientist,US
2023,EN,FT,213660,0,L,Data Scientist,US
2023,EN,FT,130760,0,L,Data Scientist,US
2023,SE,FT,221000,0,M,Data Engineer,US
2023,SE,FT,147000,0,M,Data Engineer,US
2023,SE,FT,100000,0,M,Data Analyst,US
2023,SE,FT,80000,0,M,Data Analyst,US
2023,SE,FT,185900,0,M,Data Scientist,US
2023,SE,FT,129300,0,M,Data Scientist,US
2023,SE,FT,238000,100,M,Data Scientist,US
2023,SE,FT,156000,100,M,Data Scientist,US
2023,SE,FT,304000,100,M,ML/AI Engineer,US
2023,SE,FT,199000,100,M,ML/AI Engineer,US
2023,MI,FT,48289,100,M,Data Engineer,ES
2023,SE,FT,150000,0,M,Data Engineer,US
2023,SE,FT,130000,0,M,Data Engineer,US
2023,SE,FT,140000,100,M,Data Scientist,US
2023,SE,FT,110000,100,M,Data Scientist,US
2023,MI,FT,90000,0,M,Data Analyst,US
2023,MI,FT,75000,0,M,Data Analyst,US
2023,MI,FT,195895,0,M,Data Scientist,GB
2023,MI,FT,102772,0,M,Data Scientist,GB
2023,SE,FT,240000,0,M,Data Engineer,US
2023,SE,FT,183600,0,M,Data Engineer,US
2023,MI,FT,130000,0,M,Other,US
2023,MI,FT,80000,0,M,Other,US
2023,SE,FT,250000,0,M,Data Engineer,US
2023,SE,FT,150000,0,M,Data Engineer,US
2023,SE,FT,160000,100,M,Management,US
2023,SE,FT,120000,100,M,Management,US
2023,SE,FT,289076,0,M,ML/AI Engineer,US
2023,SE,FT,202353,0,M,ML/AI Engineer,US
2023,SE,FT,145000,0,M,Data Engineer,US
2023,SE,FT,120000,0,M,Data Engineer,US
2023,SE,FT,155000,0,M,Data Analyst,US
2023,SE,FT,106000,0,M,Data Analyst,US
2023,SE,FT,200000,0,M,Data Engineer,US
2023,SE,FT,160000,0,M,Data Engineer,US
2023,SE,FT,157750,100,M,Data Scientist,US
2023,SE,FT,104650,100,M,Data Scientist,US
2023,MI,FT,180000,100,M,Data Scientist,US
2023,MI,FT,140000,100,M,Data Scientist,US
2023,EX,FT,200000,0,M,Data Scientist,US
2023,EX,FT,145000,0,M,Data Scientist,US
2023,MI,FT,68000,0,L,Management,US
2023,EN,FT,60000,100,M,Data Engineer,US
2023,SE,FT,48289,0,M,Data Scientist,ES
2023,SE,FT,38631,0,M,Data Scientist,ES
2023,EN,FT,85000,0,M,Data Engineer,US
2023,EN,FT,65000,0,M,Data Engineer,US
2023,MI,FT,125000,0,M,Data Engineer,US
2023,MI,FT,90000,0,M,Data Engineer,US
2023,SE,FT,105000,100,M,Data Analyst,US
2023,SE,FT,90000,100,M,Data Analyst,US
2023,SE,FT,179820,0,M,Data Engineer,US
2023,SE,FT,143860,0,M,Data Engineer,US
2023,SE,FT,135000,0,M,Data Analyst,US
2023,SE,FT,105500,0,M,Data Analyst,US
2023,EN,FT,155000,0,M,Data Engineer,US
2023,EN,FT,125000,0,M,Data Engineer,US
2023,SE,FT,241000,0,M,ML/AI Engineer,US
2023,SE,FT,181000,0,M,ML/AI Engineer,US
2023,SE,FT,252000,0,M,Data Scientist,US
2023,SE,FT,154000,0,M,Data Scientist,US
2023,EX,FT,180000,0,M,Data Engineer,US
2023,EX,FT,155000,0,M,Data Engineer,US
2023,SE,FT,191765,0,M,Data Scientist,US
2023,SE,FT,134236,0,M,Data Scientist,US
2023,SE,FT,175000,100,M,Data Scientist,US
2023,SE,FT,145000,100,M,Data Scientist,US
2023,SE,FT,237000,100,M,Data Scientist,US
2023,SE,FT,145000,100,M,Data Scientist,US
2023,EN,FT,155000,0,M,Data Engineer,US
2023,EN,FT,125000,0,M,Data Engineer,US
2023,SE,FT,80000,0,M,Data Analyst,US
2023,SE,FT,70000,0,M,Data Analyst,US
2023,SE,FT,146000,0,M,Data Engineer,US
2023,SE,FT,75000,0,M,Data Engineer,US
2023,EN,FT,64200,100,M,Data Analyst,US
2023,EN,FT,56100,100,M,Data Analyst,US
2023,SE,FT,170000,0,M,ML/AI Engineer,US
2023,SE,FT,130000,0,M,ML/AI Engineer,US
2023,SE,FT,208450,100,M,Data Analyst,US
2023,SE,FT,170550,100,M,Data Analyst,US
2023,SE,FT,125000,0,M,ML/AI Engineer,US
2023,SE,FT,100000,0,M,ML/AI Engineer,US
2023,MI,FT,135000,0,M,Management,US
2023,MI,FT,120000,0,M,Management,US
2023,SE,FT,200000,100,M,Data Scientist,US
2023,SE,FT,170000,100,M,Data Scientist,US
2023,SE,FT,171250,0,M,Data Scientist,Other
2023,SE,FT,113750,0,M,Data Scientist,Other
2023,SE,FT,222200,0,L,Data Scientist,US
2023,SE,FT,136000,0,L,Data Scientist,US
2023,SE,FT,260000,0,L,Data Scientist,US
2023,SE,FT,136000,0,L,Data Scientist,US
2023,SE,FT,153600,0,M,Data Analyst,US
2023,SE,FT,100500,0,M,Data Analyst,US
2023,SE,FT,205000,100,M,Data Scientist,US
2023,SE,FT,184000,100,M,Data Scientist,US
2023,SE,FT,115000,100,M,ML/AI Engineer,CA
